,name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank,height (cm),matches_played
11,Bernard Tomic,2018,62,6,0.56,0.77,0.47,43,0.71,89,0.85,0.64,0.27,0.46,49,0.41,91,0.18,0.35,0.5,85.0,196,25
12,Dominic Thiem,2018,314,112,0.56,0.77,0.47,166,0.71,448,0.85,0.64,0.27,0.46,272,0.41,449,0.18,0.35,0.5,8.0,185,39
13,Benoit Paire,2018,305,179,0.56,0.77,0.47,257,0.71,409,0.85,0.64,0.27,0.46,246,0.41,409,0.18,0.35,0.5,55.0,196,43
14,Kei Nishikori,2018,150,88,0.56,0.77,0.47,232,0.71,468,0.85,0.64,0.27,0.46,260,0.41,471,0.18,0.35,0.5,9.0,178,52
15,Kamil Majchrzak,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,176.0,180,36
16,Reilly Opelka,2018,66,23,0.56,0.77,0.47,23,0.71,54,0.85,0.64,0.27,0.46,24,0.41,54,0.18,0.35,0.5,102.0,211,39
17,John Isner,2018,738,83,0.56,0.77,0.47,129,0.71,539,0.85,0.64,0.27,0.46,194,0.41,530,0.18,0.35,0.5,10.0,208,48
18,Karen Khachanov,2018,467,100,0.56,0.77,0.47,214,0.71,573,0.85,0.64,0.27,0.46,293,0.41,570,0.18,0.35,0.5,11.0,198,54
19,Peter Gojowczyk,2018,255,131,0.56,0.77,0.47,178,0.71,408,0.85,0.64,0.27,0.46,205,0.41,408,0.18,0.35,0.5,60.0,188,37
20,Borna Coric,2018,218,79,0.56,0.77,0.47,204,0.71,458,0.85,0.64,0.27,0.46,264,0.41,460,0.18,0.35,0.5,12.0,188,41
21,Steve Darcis,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,315.0,175,0
22,Fabio Fognini,2018,140,128,0.56,0.77,0.47,212,0.71,387,0.85,0.64,0.27,0.46,241,0.41,388,0.18,0.35,0.5,13.0,178,44
23,Jaume Munar,2018,84,44,0.56,0.77,0.47,126,0.71,173,0.85,0.64,0.27,0.46,80,0.41,167,0.18,0.35,0.5,74.0,183,32
24,Tomas Berdych,2018,122,25,0.56,0.77,0.47,91,0.71,184,0.85,0.64,0.27,0.46,125,0.41,178,0.18,0.35,0.5,57.0,196,19
25,Kyle Edmund,2018,263,77,0.56,0.77,0.47,184,0.71,432,0.85,0.64,0.27,0.46,239,0.41,430,0.18,0.35,0.5,14.0,188,39
26,Stefanos Tsitsipas,2018,316,109,0.56,0.77,0.47,245,0.71,581,0.85,0.64,0.27,0.46,255,0.41,568,0.18,0.35,0.5,15.0,193,61
27,Matteo Berrettini,2018,130,38,0.56,0.77,0.47,85,0.71,198,0.85,0.64,0.27,0.46,101,0.41,198,0.18,0.35,0.5,52.0,196,43
28,Daniil Medvedev,2018,350,201,0.56,0.77,0.47,286,0.71,593,0.85,0.64,0.27,0.46,370,0.41,592,0.18,0.35,0.5,16.0,198,65
29,Lloyd Harris,2018,42,13,0.56,0.77,0.47,31,0.71,40,0.85,0.64,0.27,0.46,26,0.41,41,0.18,0.35,0.5,119.0,193,70
30,Milos Raonic,2018,459,131,0.56,0.77,0.47,118,0.71,377,0.85,0.64,0.27,0.46,143,0.41,374,0.18,0.35,0.5,17.0,196,37
31,Nick Kyrgios,2018,454,100,0.56,0.77,0.47,112,0.71,340,0.85,0.64,0.27,0.46,132,0.41,339,0.18,0.35,0.5,51.0,193,31
32,Filip Krajinovic,2018,132,62,0.56,0.77,0.47,196,0.71,330,0.85,0.64,0.27,0.46,229,0.41,336,0.18,0.35,0.5,92.0,185,34
33,Marco Cecchinato,2018,95,58,0.56,0.77,0.47,101,0.71,186,0.85,0.64,0.27,0.46,85,0.41,187,0.18,0.35,0.5,18.0,185,21
34,Diego Schwartzman,2018,100,92,0.56,0.77,0.47,201,0.71,339,0.85,0.64,0.27,0.46,233,0.41,344,0.18,0.35,0.5,19.0,170,32
35,Rudolf Molleker,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,207.0,185,18
36,Nikoloz Basilashvili,2018,159,149,0.56,0.77,0.47,229,0.71,383,0.85,0.64,0.27,0.46,202,0.41,380,0.18,0.35,0.5,20.0,185,32
37,Christopher Eubanks,2018,13,3,0.56,0.77,0.47,5,0.71,15,0.85,0.64,0.27,0.46,5,0.41,15,0.18,0.35,0.5,171.0,201,60
38,Grigor Dimitrov,2018,229,150,0.56,0.77,0.47,195,0.71,383,0.85,0.64,0.27,0.46,180,0.41,381,0.18,0.35,0.5,21.0,191,35
39,Janko Tipsarevic,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,-inf,180,0
40,David Goffin,2018,130,57,0.56,0.77,0.47,139,0.71,261,0.85,0.64,0.27,0.46,196,0.41,266,0.18,0.35,0.5,22.0,180,31
41,Cristian Garin,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,86.0,185,19
42,Roberto Bautista Agut,2018,99,65,0.56,0.77,0.47,198,0.71,352,0.85,0.64,0.27,0.46,224,0.41,343,0.18,0.35,0.5,23.0,183,35
43,Andy Murray,2018,65,39,0.56,0.77,0.47,74,0.71,133,0.85,0.64,0.27,0.46,83,0.41,132,0.18,0.35,0.5,230.0,191,10
44,Pablo Carreno Busta,2018,122,53,0.56,0.77,0.47,167,0.71,330,0.85,0.64,0.27,0.46,187,0.41,333,0.18,0.35,0.5,24.0,188,31
45,Luca Vanni,2018,7,1,0.56,0.77,0.47,8,0.71,10,0.85,0.64,0.27,0.46,2,0.41,10,0.18,0.35,0.5,164.0,198,32
46,Hyeon Chung,2018,159,115,0.56,0.77,0.47,261,0.71,515,0.85,0.64,0.27,0.46,336,0.41,522,0.18,0.35,0.5,25.0,188,49
47,Bradley Klahn,2018,101,46,0.56,0.77,0.47,49,0.71,138,0.85,0.64,0.27,0.46,37,0.41,139,0.18,0.35,0.5,76.0,183,54
48,Denis Shapovalov,2018,335,261,0.56,0.77,0.47,280,0.71,558,0.85,0.64,0.27,0.46,260,0.41,552,0.18,0.35,0.5,27.0,185,44
49,Pablo Andujar,2018,4,5,0.56,0.77,0.47,9,0.71,17,0.85,0.64,0.27,0.46,7,0.41,17,0.18,0.35,0.5,82.0,180,4
50,Fernando Verdasco,2018,255,153,0.56,0.77,0.47,219,0.71,417,0.85,0.64,0.27,0.46,235,0.41,421,0.18,0.35,0.5,28.0,188,33
51,Miomir Kecmanovic,2018,1,2,0.56,0.77,0.47,11,0.71,11,0.85,0.64,0.27,0.46,3,0.41,11,0.18,0.35,0.5,126.0,183,48
52,Alex de Minaur,2018,171,103,0.56,0.77,0.47,282,0.71,485,0.85,0.64,0.27,0.46,297,0.41,488,0.18,0.35,0.5,29.0,183,48
53,Pedro Sousa,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,103.0,180,2
54,Lucas Pouille,2018,270,111,0.56,0.77,0.47,184,0.71,369,0.85,0.64,0.27,0.46,167,0.41,372,0.18,0.35,0.5,30.0,185,33
55,Mikhail Kukushkin,2018,58,37,0.56,0.77,0.47,194,0.71,302,0.85,0.64,0.27,0.46,170,0.41,308,0.18,0.35,0.5,56.0,183,36
56,Gilles Simon,2018,141,61,0.56,0.77,0.47,182,0.71,356,0.85,0.64,0.27,0.46,238,0.41,347,0.18,0.35,0.5,31.0,183,37
57,Bjorn Fratangelo,2018,5,5,0.56,0.77,0.47,11,0.71,20,0.85,0.64,0.27,0.46,4,0.41,20,0.18,0.35,0.5,135.0,183,51
58,Gael Monfils,2018,186,106,0.56,0.77,0.47,123,0.71,274,0.85,0.64,0.27,0.46,141,0.41,265,0.18,0.35,0.5,32.0,193,28
59,Damir Dzumhur,2018,93,104,0.56,0.77,0.47,272,0.71,388,0.85,0.64,0.27,0.46,238,0.41,394,0.18,0.35,0.5,46.0,175,40
60,Andreas Seppi,2018,156,69,0.56,0.77,0.47,157,0.71,331,0.85,0.64,0.27,0.46,169,0.41,325,0.18,0.35,0.5,37.0,191,36
61,Steve Johnson,2018,208,79,0.56,0.77,0.47,147,0.71,316,0.85,0.64,0.27,0.46,128,0.41,315,0.18,0.35,0.5,33.0,188,33
62,Philipp Kohlschreiber,2018,123,41,0.56,0.77,0.47,159,0.71,303,0.85,0.64,0.27,0.46,156,0.41,308,0.18,0.35,0.5,34.0,178,24
63,Zhe Li,2018,3,2,0.56,0.77,0.47,11,0.71,10,0.85,0.64,0.27,0.46,1,0.41,10,0.18,0.35,0.5,261.0,183,66
64,Radu Albot,2018,48,63,0.56,0.77,0.47,165,0.71,238,0.85,0.64,0.27,0.46,145,0.41,235,0.18,0.35,0.5,96.0,175,45
65,Michael Mmoh,2018,52,53,0.56,0.77,0.47,77,0.71,137,0.85,0.64,0.27,0.46,57,0.41,136,0.18,0.35,0.5,108.0,188,52
66,Alex Bolt,2018,41,14,0.56,0.77,0.47,41,0.71,65,0.85,0.64,0.27,0.46,22,0.41,64,0.18,0.35,0.5,159.0,183,41
67,Jack Sock,2018,141,93,0.56,0.77,0.47,155,0.71,278,0.85,0.64,0.27,0.46,140,0.41,284,0.18,0.35,0.5,105.0,191,27
68,Jeremy Chardy,2018,238,132,0.56,0.77,0.47,147,0.71,337,0.85,0.64,0.27,0.46,151,0.41,330,0.18,0.35,0.5,36.0,188,31
69,Ugo Humbert,2018,53,17,0.56,0.77,0.47,28,0.71,78,0.85,0.64,0.27,0.46,23,0.41,77,0.18,0.35,0.5,98.0,188,68
70,Marius Copil,2018,317,74,0.56,0.77,0.47,112,0.71,294,0.85,0.64,0.27,0.46,117,0.41,294,0.18,0.35,0.5,61.0,191,38
71,Marcel Granollers,2018,11,13,0.56,0.77,0.47,21,0.71,20,0.85,0.64,0.27,0.46,13,0.41,22,0.18,0.35,0.5,110.0,191,52
72,Pablo Cuevas,2018,35,23,0.56,0.77,0.47,40,0.71,83,0.85,0.64,0.27,0.46,32,0.41,81,0.18,0.35,0.5,90.0,180,10
73,Dusan Lajovic,2018,63,32,0.56,0.77,0.47,149,0.71,241,0.85,0.64,0.27,0.46,133,0.41,245,0.18,0.35,0.5,45.0,183,31
74,Taro Daniel,2018,60,78,0.56,0.77,0.47,163,0.71,211,0.85,0.64,0.27,0.46,87,0.41,213,0.18,0.35,0.5,78.0,191,35
75,Thanasi Kokkinakis,2018,63,30,0.56,0.77,0.47,38,0.71,98,0.85,0.64,0.27,0.46,36,0.41,101,0.18,0.35,0.5,145.0,193,34
76,Evgeny Donskoy,2018,92,50,0.56,0.77,0.47,177,0.71,276,0.85,0.64,0.27,0.46,119,0.41,274,0.18,0.35,0.5,95.0,185,37
77,Laslo Djere,2018,63,36,0.56,0.77,0.47,88,0.71,137,0.85,0.64,0.27,0.46,59,0.41,143,0.18,0.35,0.5,91.0,188,15
78,Matthew Ebden,2018,211,145,0.56,0.77,0.47,202,0.71,353,0.85,0.64,0.27,0.46,142,0.41,349,0.18,0.35,0.5,47.0,188,39
79,Jan-Lennard Struff,2018,281,111,0.56,0.77,0.47,145,0.71,337,0.85,0.64,0.27,0.46,149,0.41,339,0.18,0.35,0.5,58.0,193,28
80,Daniel Evans,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,190.0,175,32
81,Tatsuma Ito,2018,4,6,0.56,0.77,0.47,17,0.71,16,0.85,0.64,0.27,0.46,13,0.41,16,0.18,0.35,0.5,151.0,180,53
82,Thomas Fabbiano,2018,19,34,0.56,0.77,0.47,78,0.71,124,0.85,0.64,0.27,0.46,72,0.41,126,0.18,0.35,0.5,100.0,173,38
83,Jason Kubler,2018,24,31,0.56,0.77,0.47,43,0.71,61,0.85,0.64,0.27,0.46,45,0.41,62,0.18,0.35,0.5,131.0,178,61
84,Taylor Fritz,2018,276,83,0.56,0.77,0.47,204,0.71,382,0.85,0.64,0.27,0.46,191,0.41,382,0.18,0.35,0.5,50.0,196,52
85,Cameron Norrie,2018,108,78,0.56,0.77,0.47,128,0.71,242,0.85,0.64,0.27,0.46,118,0.41,243,0.18,0.35,0.5,93.0,188,43
86,Marton Fucsovics,2018,122,91,0.56,0.77,0.47,205,0.71,341,0.85,0.64,0.27,0.46,221,0.41,349,0.18,0.35,0.5,35.0,188,43
87,Albert Ramos-Vinolas,2018,84,54,0.56,0.77,0.47,143,0.71,223,0.85,0.64,0.27,0.46,89,0.41,225,0.18,0.35,0.5,65.0,188,24
88,Robin Haase,2018,222,98,0.56,0.77,0.47,215,0.71,392,0.85,0.64,0.27,0.46,193,0.41,393,0.18,0.35,0.5,49.0,191,35
89,Guillermo Garcia-Lopez,2018,53,65,0.56,0.77,0.47,82,0.71,151,0.85,0.64,0.27,0.46,80,0.41,153,0.18,0.35,0.5,101.0,185,21
90,Ryan Harrison,2018,262,91,0.56,0.77,0.47,171,0.71,373,0.85,0.64,0.27,0.46,163,0.41,371,0.18,0.35,0.5,81.0,185,33
91,Jiri Vesely,2018,110,68,0.56,0.77,0.47,80,0.71,163,0.85,0.64,0.27,0.46,72,0.41,168,0.18,0.35,0.5,87.0,198,17
92,Pierre-Hugues Herbert,2018,295,136,0.56,0.77,0.47,233,0.71,456,0.85,0.64,0.27,0.46,164,0.41,449,0.18,0.35,0.5,53.0,188,48
93,Sam Querrey,2018,457,113,0.56,0.77,0.47,131,0.71,422,0.85,0.64,0.27,0.46,197,0.41,417,0.18,0.35,0.5,48.0,198,39
94,Ilya Ivashka,2018,95,39,0.56,0.77,0.47,81,0.71,165,0.85,0.64,0.27,0.46,100,0.41,166,0.18,0.35,0.5,94.0,193,52
95,Malek Jaziri,2018,104,81,0.56,0.77,0.47,184,0.71,292,0.85,0.64,0.27,0.46,121,0.41,291,0.18,0.35,0.5,42.0,185,55
96,Ivo Karlovic,2018,267,65,0.56,0.77,0.47,54,0.71,179,0.85,0.64,0.27,0.46,54,0.41,181,0.18,0.35,0.5,69.0,211,32
97,Hubert Hurkacz,2018,67,34,0.56,0.77,0.47,79,0.71,121,0.85,0.64,0.27,0.46,70,0.41,122,0.18,0.35,0.5,88.0,196,55
98,Denis Kudla,2018,143,53,0.56,0.77,0.47,78,0.71,188,0.85,0.64,0.27,0.46,74,0.41,186,0.18,0.35,0.5,62.0,180,51
99,Marc Polmans,2018,0,0,0.56,0.77,0.47,0,0.71,0,0.85,0.64,0.27,0.46,0,0.41,0,0.18,0.35,0.5,170.0,188,33
100,Henri Laaksonen,2018,13,12,0.56,0.77,0.47,15,0.71,19,0.85,0.64,0.27,0.46,14,0.41,19,0.18,0.35,0.5,166.0,185,28
101,Mirza Basic,2018,91,32,0.56,0.77,0.47,90,0.71,178,0.85,0.64,0.27,0.46,73,0.41,178,0.18,0.35,0.5,97.0,188,42
102,Maximilian Marterer,2018,142,34,0.56,0.77,0.47,110,0.71,244,0.85,0.64,0.27,0.46,99,0.41,249,0.18,0.35,0.5,70.0,188,27
103,Gleb Sakharov,2018,6,2,0.56,0.77,0.47,10,0.71,9,0.85,0.64,0.27,0.46,5,0.41,9,0.18,0.35,0.5,250.0,185,33
104,Leonardo Mayer,2018,164,72,0.56,0.77,0.47,109,0.71,252,0.85,0.64,0.27,0.46,122,0.41,247,0.18,0.35,0.5,54.0,191,21
105,Nicolas Jarry,2018,204,50,0.56,0.77,0.47,120,0.71,221,0.85,0.64,0.27,0.46,93,0.41,218,0.18,0.35,0.5,43.0,198,20
106,Mackenzie McDonald,2018,62,57,0.56,0.77,0.47,107,0.71,189,0.85,0.64,0.27,0.46,88,0.41,195,0.18,0.35,0.5,79.0,178,50
107,Andrey Rublev,2018,226,201,0.56,0.77,0.47,277,0.71,433,0.85,0.64,0.27,0.46,282,0.41,440,0.18,0.35,0.5,84.0,188,44
108,John Millman,2018,115,47,0.56,0.77,0.47,145,0.71,271,0.85,0.64,0.27,0.46,173,0.41,272,0.18,0.35,0.5,38.0,183,31
109,Federico Delbonis,2018,16,18,0.56,0.77,0.47,39,0.71,63,0.85,0.64,0.27,0.46,26,0.41,66,0.18,0.35,0.5,77.0,193,6
110,Yoshihito Nishioka,2018,17,39,0.56,0.77,0.47,135,0.71,199,0.85,0.64,0.27,0.46,127,0.41,199,0.18,0.35,0.5,75.0,170,53
111,Tennys Sandgren,2018,178,38,0.56,0.77,0.47,128,0.71,258,0.85,0.64,0.27,0.46,111,0.41,255,0.18,0.35,0.5,63.0,188,30
112,Alexei Popyrin,2018,51,28,0.56,0.77,0.47,44,0.71,62,0.85,0.64,0.27,0.46,22,0.41,64,0.18,0.35,0.5,149.0,196,48
113,Mischa Zverev,2018,154,78,0.56,0.77,0.47,162,0.71,282,0.85,0.64,0.27,0.46,156,0.41,289,0.18,0.35,0.5,68.0,191,27
114,Joao Sousa,2018,149,77,0.56,0.77,0.47,193,0.71,423,0.85,0.64,0.27,0.46,255,0.41,423,0.18,0.35,0.5,44.0,185,40
115,Guido Pella,2018,98,32,0.56,0.77,0.47,105,0.71,196,0.85,0.64,0.27,0.46,101,0.41,194,0.18,0.35,0.5,66.0,183,18
116,Jordan Thompson,2018,32,22,0.56,0.77,0.47,61,0.71,74,0.85,0.64,0.27,0.46,45,0.41,73,0.18,0.35,0.5,72.0,183,62
117,Feliciano Lopez,2018,313,76,0.56,0.77,0.47,153,0.71,293,0.85,0.64,0.27,0.46,121,0.41,293,0.18,0.35,0.5,64.0,188,31
118,Frances Tiafoe,2018,283,107,0.56,0.77,0.47,240,0.71,438,0.85,0.64,0.27,0.46,213,0.41,436,0.18,0.35,0.5,39.0,188,40
119,Prajnesh Gunneswaran,2018,7,9,0.56,0.77,0.47,19,0.71,25,0.85,0.64,0.27,0.46,7,0.41,26,0.18,0.35,0.5,112.0,188,48
120,Stefano Travaglia,2018,70,29,0.56,0.77,0.47,31,0.71,75,0.85,0.64,0.27,0.46,38,0.41,73,0.18,0.35,0.5,139.0,185,28
121,Guido Andreozzi,2018,21,23,0.56,0.77,0.47,50,0.71,45,0.85,0.64,0.27,0.46,27,0.41,44,0.18,0.35,0.5,80.0,183,8
122,Viktor Troicki,2018,133,52,0.56,0.77,0.47,120,0.71,205,0.85,0.64,0.27,0.46,87,0.41,206,0.18,0.35,0.5,201.0,193,19
123,Roberto Carballes Baena,2018,17,24,0.56,0.77,0.47,33,0.71,73,0.85,0.64,0.27,0.46,29,0.41,73,0.18,0.35,0.5,73.0,183,12
124,Jo-Wilfried Tsonga,2018,138,36,0.56,0.77,0.47,54,0.71,177,0.85,0.64,0.27,0.46,65,0.41,179,0.18,0.35,0.5,177.0,188,12
125,Martin Klizan,2018,62,26,0.56,0.77,0.47,59,0.71,122,0.85,0.64,0.27,0.46,55,0.41,121,0.18,0.35,0.5,40.0,191,27
126,Stan Wawrinka,2018,181,63,0.56,0.77,0.47,150,0.71,333,0.85,0.64,0.27,0.46,153,0.41,332,0.18,0.35,0.5,59.0,183,27
127,Ernests Gulbis,2018,59,40,0.56,0.77,0.47,51,0.71,102,0.85,0.64,0.27,0.46,46,0.41,105,0.18,0.35,0.5,83.0,191,26
